,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
141,Belize,70721,,688,,70011,,22,6,171574,1669,576016,1397453,412190,Asia
162,Bahamas,37491,,833,,36366,,292,1,93607,2080,257839,643767,400516,Africa
117,Guadeloupe,201704,,1010,,,,,19,504520,2526,938039,2346306,399794,Europe
111,Martinique,229807,,1098,,,,,12,614314,2935,828928,2215870,374087,Europe
114,Iceland,208921,,229,,,,,2,604879,663,1996384,5780036,345393,North America
194,Vanuatu,12014,,14,,11976,,24,,37330,44,24976,77606,321832,North America
131,French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,314169,North America
137,New Caledonia,79845,,314,,79526,,5,9,274462,1079,98964,340182,290915,Africa
128,Barbados,106434,,573,,105850,,11,,369533,1989,792463,2751388,288023,Asia
157,Mayotte,42004,,188,,,,,,146734,657,176919,618038,286259,Africa
138,French Polynesia,77957,,649,,,,,7,274338,2284,,,284164,Australia/Oceania
212,Sao Tome and Principe,6280,,77,,6202,,1,,27583,338,29036,127530,227679,Australia/Oceania
186,Samoa,16402,,29,,1605,,14768,,81102,143,187397,926612,202239,Europe
168,Saint Lucia,29882,,409,,29095,,378,,161426,2209,210983,1139752,185113,North America
130,Channel Islands,101258,,227,,100927,,104,,573820,1286,1252808,7099551,176463,Africa
154,Curaçao,45986,,295,,44720,,971,3,277812,1782,496693,3000640,165529,Australia/Oceania
215,Kiribati,5012,,18,,2703,,2291,3,40610,146,,,123419,Africa
173,Micronesia,23671,,60,,,,,1,201474,511,54967,467848,117489,Africa
179,Grenada,19680,,238,,19358,,84,4,173430,2097,182981,1612523,113475,North America
201,St. Vincent Grenadines,9589,,123,,9463,,3,,85961,1103,113604,1018404,111551,Australia/Oceania
185,Tonga,16795,,13,,15638,,1144,,155872,121,535009,4965327,107749,North America
155,Aruba,44026,,236,,42438,,1352,2,409129,2193,177885,1653068,107609,Asia
202,Antigua and Barbuda,9106,,146,,8954,,6,1,91509,1467,18901,189943,99509,North America
150,Seychelles,50665,,172,,50440,,53,,509575,1730,,,99426,North America
161,Isle of Man,38008,,116,,,,,,443335,1353,150753,1758422,85732,Africa
152,Andorra,47860,,165,,47563,,132,14,617843,2130,249838,3225256,77463,Africa
188,Dominica,15760,,74,,15673,,13,,217848,1023,229344,3170187,72344,North America
167,Cayman Islands,31472,,37,,8553,,22882,1,467797,550,222773,3311280,67277,North America
