,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
0,USA,105161023,,1144368.0,,102534080,,1482575,2425,314096.0,3418.0,1163861047.0,3476233.0,334805269.0,North America
1,India,44685619,,530764.0,,44152839,,2016,N/A,31768.0,377.0,918216867.0,652777.0,1406631776.0,Asia
2,France,39605037,,164848.0,,39371608,,68581,869,603878.0,2514.0,271490188.0,4139547.0,65584518.0,Europe
3,Germany,38090089,,167723.0,,37654800,,267566,N/A,454083.0,1999.0,122332384.0,1458359.0,83883596.0,Europe
4,Brazil,37008944,,698834.0,,36179646,,130464,N/A,171852.0,3245.0,63776166.0,296146.0,215353593.0,South America
5,Japan,33157721,6512.0,72134.0,83.0,21675630,2474,11409957,183,264026.0,574.0,94827129.0,755084.0,125584838.0,Asia
6,S. Korea,30479753,10051.0,33929.0,20.0,30229352,5828,216472,183,593801.0,661.0,15804065.0,307892.0,51329899.0,Asia
7,Italy,25547414,,187850.0,,25174036,,185528,154,423934.0,3117.0,267156892.0,4433200.0,60262770.0,Europe
8,UK,24341615,,206246.0,,24076386,2442,58983,N/A,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe
9,Russia,22232492,13829.0,395970.0,32.0,21570255,12618,266267,N/A,152480.0,2716.0,273400000.0,1875095.0,145805947.0,Europe
10,Turkey,17042722,,101492.0,,N/A,N/A,N/A,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia
11,Spain,13755956,,119186.0,,13596016,,40754,231,294439.0,2551.0,471036328.0,10082298.0,46719142.0,Europe
12,Vietnam,11526881,11.0,43186.0,,10614755,15,868940,3,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia
13,Australia,11366361,2961.0,19373.0,16.0,11314814,2416,32174,36,436014.0,743.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
14,Argentina,10043308,,130458.0,,9908046,456,4804,363,218284.0,2835.0,35716069.0,776264.0,46010234.0,South America
15,Taiwan,9998752,13432.0,17765.0,56.0,9628145,23701,352842,,418558.0,744.0,30742304.0,1286903.0,23888595.0,Asia
16,Netherlands,8591721,,22992.0,,8557567,354,11162,53,499186.0,1336.0,25984435.0,1509718.0,17211447.0,Europe
17,Iran,7567560,87.0,144832.0,4.0,7339072,66,83656,285,87972.0,1684.0,55034937.0,639771.0,86022837.0,Asia
18,Mexico,7443151,3870.0,332938.0,25.0,6680289,2530,429924,N/A,56575.0,2531.0,19551137.0,148607.0,131562772.0,North America
19,Indonesia,6735269,236.0,160902.0,5.0,6570796,226,3571,N/A,24129.0,576.0,114158919.0,408975.0,279134505.0,Asia
20,Poland,6412259,2655.0,118860.0,10.0,5335940,,957459,696,169907.0,3149.0,38246998.0,1013440.0,37739785.0,Europe
21,Colombia,6359464,,142615.0,,6182304,,34545,342,123454.0,2769.0,36951507.0,717327.0,51512762.0,South America
22,Austria,5884691,,21853.0,,5810448,,52390,72,649044.0,2410.0,211273524.0,23302116.0,9066710.0,Europe
23,Greece,5842655,,36066.0,,5796999,1598,9590,115,566333.0,3496.0,102228365.0,9909078.0,10316637.0,Europe
24,Portugal,5566708,,26117.0,,5536772,,3819,61,548954.0,2575.0,45968702.0,4533148.0,10140570.0,Europe
25,Ukraine,5382095,,111175.0,,5261929,,8991,,124608.0,2574.0,32603805.0,754855.0,43192122.0,Europe
26,Chile,5156519,,64128.0,,5087134,,5257,83,267868.0,3331.0,48381989.0,2513325.0,19250195.0,South America
27,Malaysia,5041811,,36957.0,,4995584,,9270,9,151948.0,1114.0,68025327.0,2050124.0,33181072.0,Asia
28,Israel,4796672,,12268.0,,4781252,,3152,57,514333.0,1315.0,41373364.0,4436346.0,9326000.0,Asia
29,DPRK,4772813,,74.0,,4772739,,0,,183636.0,3.0,,,25990679.0,Asia
30,Thailand,4727831,,33902.0,,4692636,,1293,N/A,67465.0,484.0,17270775.0,246450.0,70078203.0,Asia
31,Belgium,4717655,,33717.0,,4657469,735,26469,43,404315.0,2890.0,36709556.0,3146099.0,11668278.0,Europe
32,Czechia,4606824,1170.0,42412.0,1.0,4554286,1431,10126,37,429069.0,3950.0,56985031.0,5307458.0,10736784.0,Europe
33,Canada,4581763,,51061.0,,4492894,1575,37808,99,119353.0,1330.0,66343123.0,1728207.0,38388419.0,North America
34,Peru,4485147,144.0,219387.0,9.0,4264065,394,1695,44,133153.0,6513.0,37988506.0,1127784.0,33684208.0,South America
35,Switzerland,4389655,,14452.0,,4371249,,3954,39,500323.0,1647.0,23833472.0,2716487.0,8773637.0,Europe
36,Philippines,4076014,143.0,66076.0,13.0,4000601,121,9337,162,36228.0,587.0,34562282.0,307196.0,112508994.0,Asia
37,South Africa,4061085,,102595.0,,3912506,,45984,192,66842.0,1689.0,26473049.0,435726.0,60756135.0,Africa
38,Romania,3335131,,67675.0,,3260130,,7326,115,175244.0,3556.0,26603809.0,1397895.0,19031335.0,Europe
39,Denmark,3174969,62.0,8244.0,4.0,3165686,,1039,19,544130.0,1413.0,129190878.0,22140871.0,5834950.0,Europe
40,Hong Kong,2882936,114.0,13447.0,2.0,2834576,4015,34913,28,379119.0,1768.0,76127725.0,10011143.0,7604299.0,Asia
41,Sweden,2697827,,23633.0,,2669780,,4414,9,264002.0,2313.0,19469139.0,1905196.0,10218971.0,Europe
42,Serbia,2488870,,17791.0,,2456845,,14234,23,287630.0,2056.0,12358664.0,1428249.0,8653016.0,Europe
43,Iraq,2465545,,25375.0,,2439497,,673,21,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia
44,Singapore,2222006,,1722.0,,2149583,,70701,1,373852.0,290.0,24756666.0,4165302.0,5943546.0,Asia
45,New Zealand,2207775,,3864.0,,2197123,,6788,,450732.0,789.0,7768604.0,1586011.0,4898203.0,Australia/Oceania
46,Hungary,2194969,,48745.0,,2142682,,3542,6,228494.0,5074.0,11394556.0,1186160.0,9606259.0,Europe
47,Bangladesh,2037773,,29445.0,,1998448,,9880,N/A,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia
48,Slovakia,1862590,95.0,21014.0,3.0,1840451,78,1125,16,341122.0,3849.0,7401355.0,1355512.0,5460193.0,Europe
49,Georgia,1825598,,16965.0,,1776548,,32085,,459995.0,4275.0,16920079.0,4263340.0,3968738.0,Asia
50,Jordan,1746997,,14122.0,,1731007,,1868,59,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia
51,Ireland,1702523,,8629.0,,1691735,111,2159,11,339135.0,1719.0,13024205.0,2594360.0,5020199.0,Europe
52,Pakistan,1576838,42.0,30641.0,,1538689,,7508,16,6871.0,134.0,30570862.0,133213.0,229488994.0,Asia
53,Norway,1478817,,5112.0,,1473036,,669,20,268321.0,928.0,11002430.0,1996315.0,5511370.0,Europe
54,Finland,1462169,,8892.0,,1451354,,1923,21,263219.0,1601.0,12047792.0,2168835.0,5554960.0,Europe
55,Kazakhstan,1407351,,13846.0,,1383020,,10485,24,73280.0,721.0,11575012.0,602707.0,19205043.0,Asia
56,Slovenia,1327065,319.0,7071.0,3.0,1316266,65,3728,4,638616.0,3403.0,2835462.0,1364493.0,2078034.0,Europe
57,Lithuania,1303681,295.0,9584.0,2.0,1288284,284,5813,8,489791.0,3601.0,10373322.0,3897243.0,2661708.0,Europe
