,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
0,USA,105665981,1149253.0,103319965,1196763,2157,315604.0,3433.0,1169267631.0,3492381.0,334805269.0,North America
1,India,44691956,530789.0,44156970,4197,N/A,31772.0,377.0,919816389.0,653914.0,1406631776.0,Asia
2,France,39667102,165240.0,39435308,66554,869,604824.0,2519.0,271490188.0,4139547.0,65584518.0,Europe
3,Germany,38276190,169345.0,37906300,200545,N/A,456301.0,2019.0,122332384.0,1458359.0,83883596.0,Europe
4,Brazil,37085520,699310.0,36249161,137049,N/A,172208.0,3247.0,63776166.0,296146.0,215353593.0,South America
5,Japan,33346529,73334.0,21704743,11568452,119,265530.0,584.0,96459844.0,768085.0,125584838.0,Asia
6,S. Korea,30662229,34131.0,30455545,172553,147,597356.0,665.0,15804065.0,307892.0,51329899.0,Asia
7,Italy,25627473,188538.0,25294864,144071,104,425262.0,3129.0,268674307.0,4458380.0,60262770.0,Europe
8,UK,24396534,207695.0,24138845,49994,N/A,356165.0,3032.0,522526476.0,7628357.0,68497907.0,Europe
9,Russia,22454933,396696.0,21806101,252136,N/A,154006.0,2721.0,273400000.0,1875095.0,145805947.0,Europe
10,Turkey,17042722,101492.0,N/A,N/A,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia
11,Spain,13778467,119618.0,13624507,34342,231,294921.0,2560.0,471036328.0,10082298.0,46719142.0,Europe
12,Vietnam,11527079,43186.0,10614829,869064,1,116490.0,436.0,85826548.0,867342.0,98953541.0,Asia
13,Australia,11385534,19459.0,11332576,33499,27,436750.0,746.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
14,Taiwan,10197421,18619.0,9966743,212059,,426874.0,779.0,30742304.0,1286903.0,23888595.0,Asia
15,Argentina,10044957,130472.0,9912836,1649,363,218320.0,2836.0,35716069.0,776264.0,46010234.0,South America
16,Netherlands,8604733,22992.0,8563853,17888,53,499942.0,1336.0,25984435.0,1509718.0,17211447.0,Europe
